Date,Colombo Wholesale Price,Colombo Retail Price,Dampulla Wholesale Price,Dampulla Retail Price,Jaffna Wholesale Price,Jaffna Retail Price,Vavuniya Wholesale Price,Vavuniya Retail Price,Kilinochchi Wholesale Price,Kilinochchi Retail Price,Mullaitivu Wholesale Price,Mullaitivu Retail Price,Galle Wholesale Price,Galle Retail Price,Kandy Wholesale Price,Kandy Retail Price,Gampaha Wholesale Price,Gampaha Retail Price,Kurunegala Wholesale Price,Kurunegala Retail Price,Anuradhapura Wholesale Price,Anuradhapura Retail Price,Matara Wholesale Price,Matara Retail Price,Polonnaruwa Wholesale Price,Polonnaruwa Retail Price,Badulla Wholesale Price,Badulla Retail Price,Mannar Wholesale Price,Mannar Retail Price,Kalutara Wholesale Price,Kalutara Retail Price,Batticaloa Wholesale Price,Batticaloa Retail Price,Ratnapura Wholesale Price,Ratnapura Retail Price,Trincomalee Wholesale Price,Trincomalee Retail Price,Hambantota Wholesale Price,Hambantota Retail Price,Nuwara Eliya Wholesale Price,Nuwara Eliya Retail Price,Kegalle Wholesale Price,Kegalle Retail Price,Monaragala Wholesale Price,Monaragala Retail Price,Ampara Wholesale Price,Ampara Retail Price,Puttalam Wholesale Price,Puttalam Retail Price
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-05-23,Rs. 35,Rs. 130,Rs. 17,Rs. 55,-,-,-,Rs. 90,-,-,-,-,-,-,Rs. 35,Rs. 90,-,-,-,Rs. 75,-,Rs. 70,-,Rs. 110,-,Rs. 115,-,Rs. 130,-,Rs. 85,-,-,-,-,-,Rs. 110,-,-,Rs. 48,Rs. 75,Rs. 30,Rs. 55,-,Rs. 75,-,Rs. 140,-,Rs. 130,-,Rs. 90
2019-05-16,Rs. 50,-,Rs. 30,-,-,-,-,-,-,-,-,-,-,-,Rs. 55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 48,-,Rs. 58,-,-,-,Rs. 90,-,-,-,-,-
2019-05-09,Rs. 70,-,Rs. 65,-,-,-,-,-,-,-,-,-,-,-,Rs. 75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 48,-,Rs. 75,-,-,-,Rs. 90,-,-,-,-,-
2019-04-11,Rs. 30,Rs. 90,Rs. 55,Rs. 90,-,-,-,Rs. 70,-,Rs. 100,-,Rs. 85,-,Rs. 70,Rs. 38,Rs. 90,-,Rs. 100,-,Rs. 85,-,Rs. 70,-,Rs. 55,-,Rs. 70,-,Rs. 70,-,Rs. 55,-,Rs. 65,-,Rs. 45,-,Rs. 80,-,Rs. 70,Rs. 28,Rs. 50,Rs. 45,Rs. 75,-,Rs. 80,Rs. 50,Rs. 90,-,Rs. 120,-,Rs. 55
2019-04-04,Rs. 35,Rs. 100,Rs. 22,Rs. 70,-,-,-,Rs. 70,-,Rs. 90,-,Rs. 85,-,Rs. 80,Rs. 30,Rs. 75,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 55,-,Rs. 65,-,Rs. 70,Rs. 25,Rs. 45,Rs. 23,Rs. 55,-,Rs. 55,Rs. 55,-,-,-,-,-
2019-04-01,Rs. 35,Rs. 95,Rs. 22,Rs. 65,-,Rs. 35,-,Rs. 70,-,Rs. 90,-,Rs. 85,-,Rs. 80,Rs. 30,Rs. 75,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 55,-,Rs. 65,-,Rs. 70,Rs. 25,Rs. 45,Rs. 23,Rs. 55,-,Rs. 55,-,Rs. 90,-,-,-,-
2019-03-28,Rs. 30,Rs. 100,Rs. 25,Rs. 70,-,-,-,Rs. 70,-,Rs. 90,-,Rs. 85,-,Rs. 80,Rs. 30,Rs. 75,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 50,-,Rs. 65,-,Rs. 70,Rs. 25,Rs. 45,Rs. 25,Rs. 55,-,Rs. 50,Rs. 55,Rs. 90,-,Rs. 110,-,Rs. 70
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-25,Rs. 25,Rs. 85,Rs. 22,Rs. 65,-,-,-,Rs. 70,-,Rs. 90,-,Rs. 85,-,Rs. 80,Rs. 30,Rs. 75,-,Rs. 90,-,Rs. 70,-,Rs. 70,-,Rs. 90,-,Rs. 65,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 50,-,Rs. 65,-,Rs. 70,Rs. 25,Rs. 45,Rs. 23,Rs. 55,-,-,-,-,-,-,-,-
2019-03-19,Rs. 30,-,Rs. 13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-03-18,Rs. 28,Rs. 85,Rs. 24,Rs. 55,-,-,-,Rs. 70,-,Rs. 110,-,Rs. 75,-,Rs. 70,Rs. 35,Rs. 75,-,Rs. 75,-,Rs. 70,-,Rs. 70,-,Rs. 55,-,Rs. 70,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 50,-,Rs. 75,-,Rs. 70,-,Rs. 45,Rs. 35,Rs. 75,-,Rs. 70,-,-,-,-,-,-
2019-03-14,Rs. 30,Rs. 100,Rs. 22,Rs. 55,-,Rs. 70,-,-,-,Rs. 95,-,Rs. 70,-,-,Rs. 25,Rs. 70,-,Rs. 90,-,Rs. 60,-,Rs. 70,-,-,-,Rs. 70,-,Rs. 80,-,-,-,Rs. 65,-,Rs. 50,-,Rs. 80,-,Rs. 70,Rs. 30,Rs. 50,Rs. 35,Rs. 75,-,Rs. 75,Rs. 45,Rs. 80,-,Rs. 100,-,Rs. 50
2019-03-11,Rs. 30,-,Rs. 20,-,-,-,-,-,-,-,-,-,-,-,Rs. 25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 30,-,Rs. 35,-,-,-,Rs. 45,-,-,-,-,-
2019-03-07,Rs. 30,Rs. 100,Rs. 22,Rs. 55,-,-,-,Rs. 70,-,Rs. 95,-,Rs. 70,-,-,Rs. 25,Rs. 70,-,Rs. 90,-,Rs. 60,-,Rs. 70,-,-,-,Rs. 70,-,Rs. 80,-,-,-,Rs. 65,-,Rs. 50,-,-,-,Rs. 70,Rs. 30,Rs. 50,Rs. 35,Rs. 75,-,Rs. 75,Rs. 45,Rs. 80,-,Rs. 100,-,Rs. 50
2019-02-28,Rs. 30,Rs. 80,Rs. 23,Rs. 45,-,-,-,Rs. 70,-,Rs. 75,-,-,-,Rs. 90,Rs. 33,Rs. 65,-,Rs. 85,-,Rs. 60,-,Rs. 70,-,-,-,Rs. 70,-,Rs. 90,-,-,-,Rs. 75,-,Rs. 45,-,Rs. 85,-,Rs. 70,Rs. 35,Rs. 50,Rs. 38,Rs. 75,-,Rs. 75,Rs. 35,Rs. 70,-,Rs. 100,-,Rs. 70
2019-02-25,Rs. 40,Rs. 80,Rs. 20,Rs. 40,-,-,-,Rs. 50,-,Rs. 60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019-02-21,-,Rs. 100,-,Rs. 45,-,-,-,Rs. 70,-,Rs. 65,-,-,-,Rs. 70,-,Rs. 65,-,Rs. 90,-,Rs. 55,-,-,-,-,-,Rs. 70,-,Rs. 90,-,-,-,-,-,-,-,-,-,Rs. 70,-,Rs. 35,-,Rs. 75,-,Rs. 75,-,Rs. 55,-,Rs. 100,-,Rs. 70
2019-02-20,Rs. 40,Rs. 100,Rs. 18,Rs. 50,-,-,-,Rs. 80,-,Rs. 60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-14,Rs. 15,Rs. 100,Rs. 15,Rs. 35,-,-,-,Rs. 70,-,Rs. 55,-,-,-,Rs. 70,Rs. 33,Rs. 65,-,Rs. 85,-,Rs. 55,-,Rs. 70,-,-,-,-,-,Rs. 70,-,-,-,Rs. 65,-,Rs. 35,-,Rs. 70,-,Rs. 90,Rs. 19,Rs. 45,Rs. 38,Rs. 75,-,-,Rs. 35,Rs. 70,-,Rs. 100,-,Rs. 70
2019-02-01,Rs. 35,Rs. 100,Rs. 20,Rs. 55,Rs. 23,-,-,Rs. 70,-,-,-,-,-,Rs. 65,Rs. 28,Rs. 70,-,Rs. 90,-,Rs. 55,-,Rs. 70,-,-,-,-,-,Rs. 100,-,-,-,Rs. 65,-,-,-,Rs. 90,-,Rs. 90,Rs. 28,Rs. 50,Rs. 35,Rs. 75,-,Rs. 85,Rs. 38,Rs. 70,-,Rs. 50,-,Rs. 70
2019-01-31,Rs. 35,Rs. 100,Rs. 30,Rs. 70,-,-,-,Rs. 70,-,Rs. 65,-,-,-,Rs. 80,Rs. 45,Rs. 75,-,Rs. 90,-,Rs. 75,-,Rs. 70,-,-,-,-,-,Rs. 100,-,-,-,Rs. 90,-,Rs. 70,-,Rs. 100,-,Rs. 70,Rs. 43,Rs. 65,Rs. 45,Rs. 75,-,Rs. 85,Rs. 45,Rs. 70,-,Rs. 95,-,Rs. 70
